user id,created at,food_desc
1020,2022-01-01 00:06:16,ไก่กระเทียม
1172,2022-01-01 00:11:13,กระเฉดหมูชิ้น
1190,2022-01-01 00:13:39,คะน้าหมูกรอบ
1185,2022-01-01 00:14:45,คะน้าหมูกรอบ
1232,2022-01-01 00:17:21,ไก่กระเทียม
1287,2022-01-01 00:24:26,กระเฉดหมูชิ้น
1124,2022-01-01 00:28:19,คะน้าหมูกรอบ
1266,2022-01-01 00:40:49,สุกี้น้ำ
1285,2022-01-01 00:48:06,ไก่กระเทียม
1244,2022-01-01 00:58:41,สุกี้น้ำ
1112,2022-01-01 01:00:23,ไก่กระเทียม
1020,2022-01-01 01:04:09,กะเพราไก่
1208,2022-01-01 01:07:58,สุกี้น้ำ
1203,2022-01-01 01:27:21,คะน้าหมูกรอบ
1113,2022-01-01 01:28:06,กระเฉดหมูชิ้น
1299,2022-01-01 01:32:19,คะน้าหมูกรอบ
1257,2022-01-01 01:39:08,สุกี้น้ำ
1242,2022-01-01 01:41:20,สุกี้น้ำ
1295,2022-01-01 01:46:41,คะน้าหมูกรอบ
1176,2022-01-01 01:49:03,คะน้าหมูกรอบ
1146,2022-01-01 01:52:14,กระเฉดหมูชิ้น
1132,2022-01-01 01:58:08,คะน้าหมูกรอบ
1152,2022-01-01 02:12:54,ไก่กระเทียม
1057,2022-01-01 02:12:58,กะเพราไก่
1191,2022-01-01 02:13:04,กระเฉดหมูชิ้น
1133,2022-01-01 02:21:38,คะน้าหมูกรอบ
1243,2022-01-01 02:23:36,กระเฉดหมูชิ้น
1299,2022-01-01 02:39:22,ไก่กระเทียม
1202,2022-01-01 02:42:21,สุกี้น้ำ
1149,2022-01-01 02:43:17,คะน้าหมูกรอบ
1256,2022-01-01 02:49:01,กะเพราไก่
1246,2022-01-01 02:51:13,ผัดซีอิ้ว
1223,2022-01-01 02:53:04,กะเพราไก่
1271,2022-01-01 03:07:42,ผัดซีอิ้ว
1224,2022-01-01 03:10:04,ไก่กระเทียม
1106,2022-01-01 03:11:24,สุกี้น้ำ
1289,2022-01-01 03:17:35,ผัดซีอิ้ว
1186,2022-01-01 03:24:11,ผัดซีอิ้ว
1212,2022-01-01 03:30:24,คะน้าหมูกรอบ
1268,2022-01-01 03:31:30,กระเฉดหมูชิ้น
1259,2022-01-01 03:34:54,ผัดซีอิ้ว
1165,2022-01-01 03:45:33,สุกี้น้ำ
1261,2022-01-01 03:52:03,กระเฉดหมูชิ้น
1187,2022-01-01 03:53:30,ผัดซีอิ้ว
1270,2022-01-01 03:56:58,คะน้าหมูกรอบ
1183,2022-01-01 04:01:17,กระเฉดหมูชิ้น
1132,2022-01-01 04:03:10,กระเฉดหมูชิ้น
1099,2022-01-01 04:05:45,ผัดซีอิ้ว
1146,2022-01-01 04:14:35,กะเพราไก่
1123,2022-01-01 04:20:52,คะน้าหมูกรอบ
1216,2022-01-01 04:27:15,ผัดซีอิ้ว
1268,2022-01-01 04:29:20,กะเพราไก่
1105,2022-01-01 04:29:25,สุกี้น้ำ
1259,2022-01-01 04:32:40,ผัดซีอิ้ว
1206,2022-01-01 04:36:21,กระเฉดหมูชิ้น
1194,2022-01-01 04:40:05,ไก่กระเทียม
1170,2022-01-01 04:49:02,กระเฉดหมูชิ้น
1230,2022-01-01 04:51:37,กระเฉดหมูชิ้น
1250,2022-01-01 04:59:33,ไก่กระเทียม
1290,2022-01-01 05:01:15,กระเฉดหมูชิ้น
1286,2022-01-01 05:01:27,กระเฉดหมูชิ้น
1183,2022-01-01 05:06:19,ไก่กระเทียม
1175,2022-01-01 05:15:03,กะเพราไก่
1246,2022-01-01 05:16:04,ผัดซีอิ้ว
1276,2022-01-01 05:22:18,ไก่กระเทียม
1201,2022-01-01 05:22:20,ไก่กระเทียม
1279,2022-01-01 05:22:35,ผัดซีอิ้ว
1138,2022-01-01 05:25:32,กะเพราไก่
1295,2022-01-01 05:29:30,ไก่กระเทียม
1268,2022-01-01 05:29:44,ไก่กระเทียม
1165,2022-01-01 05:30:18,ไก่กระเทียม
1277,2022-01-01 05:34:37,ไก่กระเทียม
1267,2022-01-01 05:40:47,ผัดซีอิ้ว
1138,2022-01-01 05:44:59,สุกี้น้ำ
1269,2022-01-01 05:52:00,กะเพราไก่
1238,2022-01-01 05:56:16,กะเพราไก่
